SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,33600 Bardolph Cir,Fremont,CA,94555-2044,850000,3,2.0,Ardenwood,1480,6241,1981,2,Garage,,Sold,,,,,850000,2015-02-20,860000.0,http://www.redfin.com/CA/Fremont/33600-Bardolph-Cir-94555/home/1658821,East Bay Regional Data (EBRD),40683666,Intero Real Estate Services,N,Y,37.572735,-122.058553,false
Past Sale,Single Family Residential,5573 RIDGEWOOD Dr,Fremont,CA,94555-2940,899999,3,2.5,Ardenwood,1807,3578,1989,2,Garage,,Sold,,,,,899999,2015-02-18,975000.0,http://www.redfin.com/CA/Fremont/5573-Ridgewood-Dr-94555/home/1059320,East Bay Regional Data (EBRD),40684399,Top Mission Realty & Invest,N,Y,37.558116,-122.055597,false
Past Sale,Single Family Residential,5050 XAVIER Cmn,Fremont,CA,94555-3814,969000,4,2.5,Ardenwood,1932,5022,1990,2,Garage,,Sold,,,,,969000,2015-02-17,1028000.0,http://www.redfin.com/CA/Fremont/5050-Xavier-Cmn-94555/home/1987856,East Bay Regional Data (EBRD),40684184,Intero Real Estate Services,N,Y,37.564162,-122.051523,false
Past Sale,Single Family Residential,34074 Gannon Ter,Fremont,CA,94555,825000,4,2.5,Ardenwood,1762,3621,1987,2,Garage,,Sold,,,,,825000,2014-06-13,865000.0,http://www.redfin.com/CA/Fremont/34074-Gannon-Ter-94555/home/1150223,East Bay Regional Data (EBRD),40657037,Legacy Real Estate & Assoc.,N,Y,37.562929,-122.06042,false
Past Sale,Single Family Residential,5286 Matthew Ter,Fremont,CA,94555,,3,2.5,94555,1324,,1988,,,,,,,,,,2013-08-28,55909.0,http://www.redfin.com/CA/Fremont/5286-Matthew-Ter-94555/home/656643,,,,N,Y,37.563623,-122.060122,
Past Sale,Single Family Residential,5827 NORTHLAND Ter,Fremont,CA,94555,839000,3,3.0,Ardenwood,1727,4275,1989,2,Garage,,Sold,,,,,839000,2014-10-31,850000.0,http://www.redfin.com/CA/Fremont/5827-Northland-Ter-94555/home/1972772,East Bay Regional Data (EBRD),40674515,"Tuscany Real Estate Services, Inc.",N,Y,37.556359,-122.057091,false
Past Sale,Single Family Residential,5429 QUEBEC Cmn,Fremont,CA,94555,775000,3,2.5,Ardenwood,1641,2791,1991,2,Garage,,Sold,,,,,775000,2014-09-26,785000.0,http://www.redfin.com/CA/Fremont/5429-Quebec-Cmn-94555/home/1817920,East Bay Regional Data (EBRD),40671276,Marinelli Real Estate,N,Y,37.560268,-122.053503,false
Past Sale,Single Family Residential,34181 Finnigan Ter,Fremont,CA,94555,849888,3,2.5,Ardenwood,1686,4400,1990,2,Garage,,Sold,,,,,849888,2014-12-16,820000.0,http://www.redfin.com/CA/Fremont/34181-Finnigan-Ter-94555/home/1603987,East Bay Regional Data (EBRD),40675834,REALTY EXPERTS,N,Y,37.564068,-122.05791,false
Past Sale,Single Family Residential,5406 SUNSTAR Cmn,Fremont,CA,94555,800000,3,2.5,Fremont,1384,3720,1988,2,Garage,,Sold,,,,,800000,2014-12-18,850000.0,http://www.redfin.com/CA/Fremont/5406-Sunstar-Cmn-94555/home/1560943,East Bay Regional Data (EBRD),40679084,BHG Mason-McDuffie RE,N,Y,37.561303,-122.055534,false
Past Sale,Single Family Residential,34526 Milburn Ter Unit Duet,Fremont,CA,94555,649000,3,2.5,Ardenwood,1571,2100,1989,2,Garage,,Sold,,,,,649000,2013-06-12,683000.0,http://www.redfin.com/CA/Fremont/34526-Milburn-Ter-94555/home/1468343,East Bay Regional Data (EBRD),40613236,Elite Realty & Finance,N,Y,37.554277,-122.059219,false
